student_id,age,gender,class_year,previous_gpa,prior_course_grade,attendance_rate,absence_hours,study_hours_week,weekly_questions,quiz_average,assignment_average,assignment_on_time,midterm,practice_test_score,lms_login_count,video_watch_minutes,motivation,self_efficacy,academic_anxiety,time_management,self_regulation,preferred_learning_type,recommendation_completion_rate,conceptual_understanding,problem_solving,application_skills,critical_thinking,advanced_topics,weakest_topic,learning_risk_score,learning_risk_level,recommended_activity,recommended_duration_min,expected_learning_gain,final_grade
10001,23,F,1,2.07,41.7,70.2,13.1,1.2,59,57.9,61.4,64.3,54.4,59.0,9,97,2.56,2.92,3.14,2.53,2.78,Video,21.0,58.0,55.6,62.5,63.4,34.7,Advanced Topics,43.1,Medium,Advanced Practice,30,0.89,59.9
10002,21,F,1,2.42,62.1,100.0,5.0,11.4,388,89.3,89.8,97.8,58.4,69.3,33,442,3.87,4.31,2.4,3.89,4.13,Video,62.4,91.2,61.4,75.3,72.0,89.9,Problem Solving,18.0,Low,Practice Questions,25,5.57,92.6
10003,23,M,1,2.46,89.9,93.9,2.2,7.0,319,94.1,98.3,75.3,93.8,84.3,24,376,4.04,4.13,2.78,4.06,4.09,Video,66.2,100.0,85.3,90.9,97.4,92.4,Problem Solving,12.5,Low,Practice Questions,20,2.87,94.0
10004,25,M,2,2.98,59.9,85.5,7.8,5.2,221,68.7,69.7,82.1,46.4,55.1,28,229,3.11,2.87,2.65,2.77,3.11,Video,62.9,66.2,63.4,75.5,61.5,61.6,Critical Thinking,40.1,Medium,Critical Thinking Activity,25,4.6,57.3
10005,21,F,4,1.2,36.7,67.8,14.0,0.5,0,52.3,41.2,66.0,35.4,41.4,7,95,2.08,1.13,3.29,2.01,1.49,Video,22.8,64.4,28.3,28.2,51.6,25.4,Advanced Topics,58.7,Medium,Advanced Practice,25,1.88,35.7
10006,21,M,3,2.87,67.3,80.0,12.0,4.0,279,74.1,76.3,96.1,64.9,69.4,23,280,2.77,3.32,2.31,3.42,3.02,Video,37.3,79.7,68.3,76.1,89.3,77.6,Problem Solving,29.8,Low,Practice Questions,20,5.84,74.9
10007,25,F,2,2.59,65.9,89.7,3.5,15.5,483,79.9,96.3,96.2,90.2,72.0,35,538,4.16,3.62,2.36,3.61,4.76,Video,80.2,100.0,89.3,82.8,61.6,95.5,Critical Thinking,15.7,Low,Critical Thinking Activity,30,3.87,90.8
10008,23,F,2,2.14,42.3,69.3,17.1,4.2,186,55.5,70.2,79.1,60.4,50.6,21,304,2.66,2.53,3.39,2.98,3.09,Video,27.9,73.9,66.1,62.4,60.3,47.2,Advanced Topics,41.5,Medium,Advanced Practice,25,2.15,63.1
10009,20,M,4,2.23,61.2,71.4,14.6,7.8,268,76.7,78.9,51.3,56.5,81.6,6,133,3.43,2.88,3.13,3.22,3.57,Video,62.8,77.8,83.0,60.6,73.9,79.0,Application Skills,35.5,Medium,Application Exercise,30,5.89,66.6
10010,23,M,2,1.81,54.6,55.6,22.3,6.6,291,70.2,74.8,84.0,60.9,59.5,19,262,2.69,2.77,3.18,2.55,2.9,Video,34.6,66.4,75.3,93.1,63.5,66.3,Critical Thinking,40.2,Medium,Critical Thinking Activity,30,3.63,58.9
10011,20,M,1,1.95,47.6,70.5,14.6,0.5,0,60.1,65.5,59.1,53.2,45.1,11,325,2.25,2.42,2.52,2.53,2.09,Video,30.0,56.2,55.5,63.5,59.4,37.4,Advanced Topics,41.9,Medium,Advanced Practice,25,2.59,62.9
10012,20,M,3,1.56,33.4,70.6,16.6,7.5,254,59.6,65.6,61.7,48.3,51.7,22,203,3.41,1.93,2.96,2.39,3.15,Video,58.7,58.0,72.8,61.9,63.9,52.4,Advanced Topics,44.8,Medium,Advanced Practice,30,2.74,54.2
10013,22,F,1,2.68,70.3,91.1,2.3,0.5,81,58.1,70.3,75.4,70.2,68.1,11,332,2.54,3.61,3.27,2.65,2.96,Video,27.0,89.3,71.4,68.5,76.1,50.4,Advanced Topics,37.0,Medium,Advanced Practice,25,2.03,60.6
10014,18,M,2,3.24,80.5,73.6,13.0,6.2,258,87.6,76.1,88.2,74.9,70.8,24,311,3.04,3.33,3.13,3.67,3.68,Video,41.7,86.3,89.7,92.4,74.1,91.2,Critical Thinking,24.1,Low,Critical Thinking Activity,20,5.87,85.5
10015,18,F,2,3.12,75.7,81.8,11.3,6.5,263,82.2,81.9,97.9,70.6,94.5,20,289,3.29,3.7,2.39,3.46,3.32,Video,50.7,97.7,81.2,73.9,83.0,79.6,Application Skills,27.0,Low,Application Exercise,20,3.95,71.6
10016,20,M,4,2.37,30.0,64.8,24.6,4.9,156,71.3,56.6,55.7,50.6,51.2,5,45,3.02,2.6,4.58,2.38,1.66,Quiz,32.4,65.1,57.8,40.6,56.3,47.0,Application Skills,53.5,Medium,Application Exercise,25,2.63,30.0
10017,19,F,2,1.99,55.4,97.0,2.6,5.7,234,58.8,63.7,89.7,73.0,61.7,30,357,3.07,2.85,3.28,3.09,3.14,Video,33.6,81.2,66.4,88.6,53.0,77.5,Critical Thinking,32.4,Low,Critical Thinking Activity,20,3.12,69.8
10018,22,M,3,3.38,62.8,71.0,14.1,6.5,145,85.8,71.2,74.4,71.9,71.5,31,410,3.58,3.2,2.9,3.25,2.93,Video,29.1,85.9,92.6,84.6,92.5,75.9,Advanced Topics,26.9,Low,Advanced Practice,20,1.19,79.0
10019,20,F,4,3.13,86.9,88.0,5.8,9.0,292,85.6,100.0,75.5,73.8,94.6,29,365,4.09,3.73,2.04,2.87,3.52,Video,60.7,86.6,100.0,91.1,91.8,100.0,Conceptual Understanding,18.5,Low,Concept Review,20,5.94,88.6
10020,18,M,1,2.87,67.3,87.0,7.2,6.8,280,87.7,85.9,94.0,84.5,66.8,21,333,4.28,3.79,1.0,4.1,3.55,Video,81.0,84.9,94.6,84.3,86.4,90.3,Application Skills,17.6,Low,Application Exercise,20,6.03,79.0
10021,25,F,1,2.61,53.8,78.4,11.2,0.5,170,67.4,60.9,66.1,45.6,53.1,17,278,2.51,2.42,3.09,3.3,2.95,Video,50.1,52.7,50.3,77.5,69.5,47.7,Advanced Topics,44.5,Medium,Advanced Practice,35,7.17,56.8
10022,21,M,2,3.49,77.3,54.5,26.8,7.4,124,77.5,66.2,68.0,75.1,85.6,17,228,2.68,3.26,2.9,1.92,2.76,Video,32.4,93.0,86.2,98.2,81.3,85.9,Critical Thinking,31.7,Low,Critical Thinking Activity,20,1.42,68.9
10023,22,F,2,2.22,63.8,98.1,1.5,11.5,410,90.5,75.2,95.8,100.0,84.1,35,321,3.94,3.21,2.81,3.61,3.53,Video,58.7,100.0,94.6,100.0,78.4,100.0,Critical Thinking,15.8,Low,Critical Thinking Activity,25,5.71,81.1
10024,18,F,2,3.16,90.0,77.7,14.1,15.5,431,100.0,94.1,95.0,94.8,86.8,53,561,3.8,4.79,1.95,4.4,4.71,Video,86.8,100.0,100.0,88.2,94.6,100.0,Application Skills,7.5,Low,Application Exercise,20,4.44,100.0
10025,20,F,4,1.98,64.3,68.9,16.5,2.6,168,68.5,83.0,83.3,75.3,63.4,13,336,3.2,3.21,3.81,3.18,2.44,Video,24.2,74.3,69.6,82.9,75.2,63.4,Advanced Topics,37.6,Medium,Advanced Practice,30,2.64,60.7
10026,22,F,3,3.0,72.4,100.0,2.7,10.4,366,86.6,89.3,100.0,76.5,84.2,39,496,4.33,4.6,1.84,4.09,4.38,Video,76.4,88.2,87.3,100.0,81.7,100.0,Critical Thinking,13.4,Low,Critical Thinking Activity,20,7.24,92.2
10027,19,M,3,2.73,54.4,64.9,19.0,1.0,94,55.9,66.9,56.4,56.0,67.5,18,0,2.29,2.27,2.75,1.4,1.28,Practice,20.5,66.1,60.7,72.6,75.2,51.9,Advanced Topics,44.0,Medium,Advanced Practice,35,0.0,59.7
10028,22,F,2,3.21,78.1,100.0,0.0,12.5,455,93.8,98.6,83.7,91.9,87.5,45,547,3.94,3.96,2.52,3.87,4.26,Video,74.0,100.0,100.0,100.0,100.0,100.0,Conceptual Understanding,10.7,Low,Concept Review,20,5.29,95.3
10029,20,M,4,2.5,97.4,100.0,4.4,13.8,371,75.9,88.3,76.9,84.0,93.8,28,504,4.52,4.07,3.11,4.03,3.76,Video,65.8,100.0,100.0,97.7,94.8,87.5,Advanced Topics,16.0,Low,Advanced Practice,25,4.07,95.2
10030,21,F,4,1.36,57.7,73.3,11.0,2.3,131,58.9,68.2,89.2,68.3,39.3,18,88,2.52,2.49,2.89,2.31,2.76,Video,36.3,43.3,64.0,64.5,57.4,55.2,Conceptual Understanding,39.5,Medium,Concept Review,25,2.03,60.5
10031,20,F,4,3.37,90.3,89.2,4.5,6.7,256,84.5,80.9,72.0,81.3,70.6,31,186,2.56,3.3,3.06,3.01,3.24,Video,22.4,95.7,100.0,93.6,81.5,96.2,Critical Thinking,23.0,Low,Critical Thinking Activity,20,3.55,80.4
10032,26,M,1,3.44,80.3,76.3,11.8,11.8,458,86.4,98.7,89.0,88.5,80.4,44,501,3.83,3.69,2.63,3.31,3.71,Video,56.8,97.9,100.0,91.9,86.9,100.0,Critical Thinking,17.0,Low,Critical Thinking Activity,25,6.24,90.1
10033,21,M,3,2.11,42.1,81.6,15.1,3.1,136,60.1,63.8,63.5,37.3,65.3,23,188,1.86,2.66,2.18,2.07,2.22,Video,31.4,60.7,58.9,54.2,37.1,45.7,Critical Thinking,44.1,Medium,Critical Thinking Activity,25,2.28,55.9
10034,19,F,1,2.49,60.0,88.6,9.9,1.7,230,51.1,50.9,82.8,57.9,57.0,14,132,2.79,2.38,3.31,2.73,2.92,Quiz,31.8,75.6,58.8,65.5,73.4,46.0,Advanced Topics,44.1,Medium,Advanced Practice,25,3.36,55.0
10035,23,M,1,2.1,79.2,82.1,12.9,4.7,265,91.3,73.8,65.3,81.2,76.0,11,225,3.61,4.13,2.22,3.32,3.25,Video,58.8,80.8,83.7,83.5,76.7,79.3,Critical Thinking,23.2,Low,Critical Thinking Activity,20,4.43,71.1
10036,19,M,1,2.95,62.6,74.8,13.2,5.0,194,73.6,62.9,61.4,65.9,72.5,30,210,3.65,3.22,2.92,2.3,2.78,Video,50.9,86.5,76.6,80.3,92.8,67.4,Advanced Topics,32.0,Low,Advanced Practice,25,3.61,72.6
10037,22,F,3,2.5,74.7,78.3,16.8,9.7,304,75.9,85.9,75.8,51.6,81.0,32,403,3.44,3.0,2.39,3.36,3.48,Video,55.0,80.3,75.8,68.7,67.5,73.8,Critical Thinking,29.6,Low,Critical Thinking Activity,30,2.67,79.8
10038,18,M,3,2.41,76.8,78.2,12.7,11.3,344,77.1,84.3,82.9,77.7,74.2,30,451,3.83,3.92,3.2,3.73,3.92,Video,63.9,93.4,100.0,79.8,78.4,86.9,Critical Thinking,23.8,Low,Critical Thinking Activity,20,6.64,81.3
