task,model,accuracy,macro_f1,balanced_accuracy,precision_macro,recall_macro
risk,Logistic Regression,0.965,0.8367697990339499,0.8163117485151384,0.8654391939832552,0.8163117485151384
risk,SVM,0.955,0.8603829708124185,0.8121106765174563,0.9656775984730176,0.8121106765174563
risk,Balanced Logistic Regression,0.945,0.8165095940738375,0.8811748515138346,0.7812833772194199,0.8811748515138346
risk,Balanced SVM,0.945,0.8004579961101701,0.8035636679704478,0.7982549667697337,0.8035636679704478
risk,KNN,0.94,0.8498297147722434,0.8007388092133856,0.9555137844611529,0.8007388092133856
risk,Decision Tree,0.91,0.8085770405936272,0.8570549036650732,0.777046783625731,0.8570549036650732
topic,Logistic Regression,0.885,0.8749589612223868,0.876067101584343,0.875454290696226,0.876067101584343
topic,SVM,0.75,0.7102425326368988,0.6921963342652997,0.739813019224784,0.6921963342652997
topic,Decision Tree,0.7,0.6803043506965076,0.6912643678160919,0.6783014392691812,0.6912643678160919
topic,KNN,0.49,0.3580631983031968,0.3723392357875116,0.4551934959349593,0.3723392357875116
recommendation,Logistic Regression,0.9,0.8520500667793446,0.9088159588159588,0.82591189674523,0.9088159588159588
recommendation,SVM,0.755,0.59859242829559,0.5891784641784642,0.6129812435830015,0.5891784641784642
recommendation,Decision Tree,0.69,0.5595189110353714,0.5704954954954956,0.5568808431711657,0.5704954954954956
recommendation,KNN,0.485,0.2979101684567693,0.3098777348777349,0.37442000040347795,0.3098777348777349
