round,effective_activity,count,proportion
1,Advanced Practice,73,0.365
1,Application Exercise,27,0.135
1,Concept Review,33,0.165
1,Critical Thinking Activity,36,0.18
1,Practice Questions,31,0.155
2,Advanced Practice,77,0.385
2,Application Exercise,30,0.15
2,Concept Review,30,0.15
2,Critical Thinking Activity,38,0.19
2,Practice Questions,25,0.125
3,Advanced Practice,74,0.37
3,Application Exercise,24,0.12
3,Concept Review,35,0.175
3,Critical Thinking Activity,34,0.17
3,Practice Questions,33,0.165
4,Advanced Practice,76,0.38
4,Application Exercise,31,0.155
4,Concept Review,34,0.17
4,Critical Thinking Activity,36,0.18
4,Practice Questions,23,0.115
5,Advanced Practice,73,0.365
5,Application Exercise,25,0.125
5,Concept Review,36,0.18
5,Critical Thinking Activity,33,0.165
5,Practice Questions,33,0.165
6,Advanced Practice,72,0.36
6,Application Exercise,32,0.16
6,Concept Review,32,0.16
6,Critical Thinking Activity,36,0.18
6,Practice Questions,28,0.14
7,Advanced Practice,75,0.375
7,Application Exercise,25,0.125
7,Concept Review,41,0.205
7,Critical Thinking Activity,32,0.16
7,Practice Questions,27,0.135
8,Advanced Practice,70,0.35
8,Application Exercise,32,0.16
8,Concept Review,36,0.18
8,Critical Thinking Activity,34,0.17
8,Practice Questions,28,0.14
9,Advanced Practice,66,0.33
9,Application Exercise,30,0.15
9,Concept Review,41,0.205
9,Critical Thinking Activity,34,0.17
9,Practice Questions,29,0.145
10,Advanced Practice,74,0.37
10,Application Exercise,30,0.15
10,Concept Review,37,0.185
10,Critical Thinking Activity,27,0.135
10,Practice Questions,32,0.16
