student_id,initial_activity,final_activity,changed_initial_to_final
10011,Advanced Practice,Advanced Practice,False
10024,Application Exercise,Critical Thinking Activity,True
10026,Application Exercise,Application Exercise,False
10031,Application Exercise,Application Exercise,False
10040,Application Exercise,Concept Review,True
10045,Application Exercise,Application Exercise,False
10055,Concept Review,Concept Review,False
10056,Application Exercise,Application Exercise,False
10060,Application Exercise,Application Exercise,False
10061,Advanced Practice,Advanced Practice,False
10064,Application Exercise,Application Exercise,False
10067,Application Exercise,Application Exercise,False
10068,Advanced Practice,Advanced Practice,False
10071,Application Exercise,Application Exercise,False
10073,Concept Review,Concept Review,False
10077,Concept Review,Concept Review,False
10079,Advanced Practice,Advanced Practice,False
10087,Concept Review,Concept Review,False
10089,Advanced Practice,Advanced Practice,False
10097,Application Exercise,Application Exercise,False
10102,Application Exercise,Application Exercise,False
10108,Application Exercise,Application Exercise,False
10111,Advanced Practice,Advanced Practice,False
10121,Concept Review,Concept Review,False
10137,Application Exercise,Application Exercise,False
10138,Advanced Practice,Advanced Practice,False
10140,Advanced Practice,Advanced Practice,False
10159,Advanced Practice,Advanced Practice,False
10169,Concept Review,Concept Review,False
10175,Advanced Practice,Advanced Practice,False
10185,Application Exercise,Application Exercise,False
10199,Advanced Practice,Concept Review,True
10200,Advanced Practice,Advanced Practice,False
10209,Advanced Practice,Advanced Practice,False
10210,Advanced Practice,Advanced Practice,False
10211,Application Exercise,Concept Review,True
10214,Application Exercise,Application Exercise,False
10216,Concept Review,Concept Review,False
10219,Practice Questions,Practice Questions,False
10222,Application Exercise,Concept Review,True
10236,Advanced Practice,Advanced Practice,False
10238,Advanced Practice,Advanced Practice,False
10245,Advanced Practice,Advanced Practice,False
10248,Application Exercise,Application Exercise,False
10255,Application Exercise,Application Exercise,False
10257,Practice Questions,Advanced Practice,True
10260,Application Exercise,Application Exercise,False
10261,Advanced Practice,Advanced Practice,False
10262,Application Exercise,Application Exercise,False
10266,Concept Review,Concept Review,False
10276,Application Exercise,Application Exercise,False
10278,Advanced Practice,Advanced Practice,False
10281,Advanced Practice,Advanced Practice,False
10282,Advanced Practice,Advanced Practice,False
10290,Advanced Practice,Advanced Practice,False
10293,Concept Review,Concept Review,False
10295,Advanced Practice,Advanced Practice,False
10297,Concept Review,Concept Review,False
10299,Advanced Practice,Advanced Practice,False
10300,Concept Review,Concept Review,False
10308,Advanced Practice,Advanced Practice,False
10310,Application Exercise,Application Exercise,False
10311,Concept Review,Advanced Practice,True
10313,Application Exercise,Application Exercise,False
10315,Application Exercise,Application Exercise,False
10319,Practice Questions,Practice Questions,False
10320,Application Exercise,Application Exercise,False
10322,Application Exercise,Application Exercise,False
10328,Critical Thinking Activity,Critical Thinking Activity,False
10329,Application Exercise,Application Exercise,False
10333,Concept Review,Concept Review,False
10347,Concept Review,Concept Review,False
10352,Application Exercise,Application Exercise,False
10356,Application Exercise,Practice Questions,True
10362,Application Exercise,Application Exercise,False
10364,Advanced Practice,Advanced Practice,False
10366,Concept Review,Concept Review,False
10371,Advanced Practice,Advanced Practice,False
10372,Application Exercise,Application Exercise,False
10378,Application Exercise,Application Exercise,False
10383,Application Exercise,Application Exercise,False
10409,Advanced Practice,Advanced Practice,False
10412,Advanced Practice,Advanced Practice,False
10426,Application Exercise,Application Exercise,False
10430,Application Exercise,Application Exercise,False
10433,Application Exercise,Application Exercise,False
10437,Advanced Practice,Advanced Practice,False
10440,Application Exercise,Application Exercise,False
10446,Advanced Practice,Advanced Practice,False
10452,Application Exercise,Application Exercise,False
10463,Advanced Practice,Advanced Practice,False
