student_id,strategy,round,predicted_final_grade,predicted_risk,predicted_weakest_topic,predicted_recommendation,effective_activity,predicted_learning_gain,completion_rate,diminishing_factor,simulated_gain,cumulative_simulated_gain,conceptual_understanding,problem_solving,application_skills,critical_thinking,advanced_topics
10011,static,1,53.3743784666664,Medium,Advanced Topics,Advanced Practice,Advanced Practice,2.19315569483619,30.0,1.0,0.6579467084508569,0.6579467084508569,56.2,55.5,63.5,59.4,38.05794670845086
10024,static,1,98.12943381194418,Low,Application Skills,Application Exercise,Application Exercise,6.5539225628509135,86.8,1.0,5.688804784554593,5.688804784554593,100.0,100.0,93.8888047845546,94.6,100.0
10026,static,1,90.70352133751113,Low,Critical Thinking,Critical Thinking Activity,Critical Thinking Activity,5.523576401609715,76.4,1.0,4.220012370829822,4.220012370829822,88.2,87.3,100.0,85.92001237082982,100.0
10031,static,1,78.81239458645713,Low,Critical Thinking,Critical Thinking Activity,Critical Thinking Activity,3.214231726528073,22.4,1.0,0.7199879067422883,0.7199879067422883,95.7,100.0,93.6,82.21998790674229,96.2
10040,static,1,82.73306592437103,Low,Critical Thinking,Critical Thinking Activity,Critical Thinking Activity,4.145170148774682,59.2,1.0,2.453940728074612,2.453940728074612,95.6,100.0,77.4,67.05394072807461,93.8
10045,static,1,90.3664022298515,Low,Conceptual Understanding,Concept Review,Concept Review,5.092678194666949,65.0,1.0,3.3102408265335166,3.3102408265335166,84.71024082653352,100.0,99.8,100.0,92.2
10055,static,1,64.72680035439225,Medium,Advanced Topics,Advanced Practice,Advanced Practice,4.249325126061785,68.6,1.0,2.915037036478384,2.915037036478384,72.1,58.6,57.6,57.4,41.615037036478384
10056,static,1,96.49297271055661,Low,Conceptual Understanding,Concept Review,Concept Review,5.767919157307695,71.9,1.0,0.0,0.0,100.0,100.0,96.1,98.2,100.0
10060,static,1,88.66094609727008,Low,Conceptual Understanding,Concept Review,Concept Review,5.134315079112445,69.3,1.0,3.5580803498249236,3.5580803498249236,88.95808034982493,85.0,99.7,83.9,85.6
10061,static,1,52.577987909210904,Medium,Advanced Topics,Advanced Practice,Advanced Practice,3.02220983085573,36.9,1.0,1.1151954275857645,1.1151954275857645,56.1,42.0,48.8,62.1,34.515195427585766
10064,static,1,92.8749244107163,Low,Problem Solving,Practice Questions,Practice Questions,5.577836792307641,75.3,1.0,4.200111104607654,4.200111104607654,100.0,96.80011110460765,100.0,94.4,100.0
10067,static,1,83.20047308937028,Low,Problem Solving,Practice Questions,Practice Questions,5.359086844259635,75.9,1.0,4.067546914793063,4.067546914793063,100.0,88.06754691479307,97.3,88.1,94.9
10068,static,1,56.41657591647535,Medium,Critical Thinking,Critical Thinking Activity,Critical Thinking Activity,3.1629606336566365,45.0,1.0,1.4233322851454864,1.4233322851454864,59.4,53.7,68.2,44.32333228514548,63.9
10071,static,1,84.55933140987193,Low,Critical Thinking,Critical Thinking Activity,Critical Thinking Activity,4.654641789580255,56.0,1.0,2.6065994021649432,2.6065994021649432,78.0,92.0,90.1,77.20659940216494,89.8
10073,static,1,79.24707583189239,Low,Problem Solving,Practice Questions,Practice Questions,4.057411843560421,57.7,1.0,2.3411266337343632,2.3411266337343632,95.0,86.64112663373436,92.1,96.6,85.8
10077,static,1,67.9642599525877,Medium,Advanced Topics,Advanced Practice,Advanced Practice,3.4059264799750713,45.0,1.0,1.532666915988782,1.532666915988782,77.4,71.9,67.3,71.5,61.132666915988786
