strategy,round,topic,mean_mastery
static,1,conceptual_understanding,79.12136268196959
static,1,problem_solving,76.13388423306422
static,1,application_skills,76.65498148257231
static,1,critical_thinking,74.77642091549389
static,1,advanced_topics,70.94138314693569
static,2,conceptual_understanding,79.30730570293649
static,2,problem_solving,76.32136088087047
static,2,application_skills,76.82539432809746
static,2,critical_thinking,75.09851966892884
static,2,advanced_topics,71.40185790210121
static,3,conceptual_understanding,79.43275805136885
static,3,problem_solving,76.43746337982171
static,3,application_skills,76.93909578338933
static,3,critical_thinking,75.29009059279677
static,3,advanced_topics,71.7213319023899
static,4,conceptual_understanding,79.5332319527225
static,4,problem_solving,76.52367299780761
static,4,application_skills,77.02199592454058
static,4,critical_thinking,75.43886278132928
static,4,advanced_topics,71.97674452860024
static,5,conceptual_understanding,79.61368285135421
static,5,problem_solving,76.59194726299319
static,5,application_skills,77.08777793854422
static,5,critical_thinking,75.55452724748585
static,5,advanced_topics,72.17554808504624
static,6,conceptual_understanding,79.68161179183667
static,6,problem_solving,76.6501386651506
static,6,application_skills,77.13638509616563
static,6,critical_thinking,75.65214156878389
static,6,advanced_topics,72.34173784603017
static,7,conceptual_understanding,79.73951206704278
static,7,problem_solving,76.69921079325273
static,7,application_skills,77.17779119339868
static,7,critical_thinking,75.73347525383598
static,7,advanced_topics,72.483756075703
static,8,conceptual_understanding,79.7898859867288
static,8,problem_solving,76.74231548769131
static,8,application_skills,77.21379649534046
static,8,critical_thinking,75.8009247261271
static,8,advanced_topics,72.60678046684045
static,9,conceptual_understanding,79.83271580867584
static,9,problem_solving,76.7807197618582
static,9,application_skills,77.24620126708807
static,9,critical_thinking,75.86163778206277
static,9,advanced_topics,72.71786389565646
static,10,conceptual_understanding,79.86995180350529
static,10,problem_solving,76.81425930381825
static,10,application_skills,77.2750055086415
static,10,critical_thinking,75.91561176861237
static,10,advanced_topics,72.81623532536138
adaptive,1,conceptual_understanding,79.12136268196959
adaptive,1,problem_solving,76.13388423306422
adaptive,1,application_skills,76.65498148257231
adaptive,1,critical_thinking,74.77642091549389
adaptive,1,advanced_topics,70.94138314693569
adaptive,2,conceptual_understanding,79.24164657582955
adaptive,2,problem_solving,76.25663063991954
adaptive,2,application_skills,76.88295737920133
adaptive,2,critical_thinking,75.12357946664278
adaptive,2,advanced_topics,71.41361354500671
adaptive,3,conceptual_understanding,79.33774322935305
adaptive,3,problem_solving,76.40126965598145
adaptive,3,application_skills,76.9919875615939
adaptive,3,critical_thinking,75.31775665237899
adaptive,3,advanced_topics,71.737127882593
adaptive,4,conceptual_understanding,79.41913725631686
adaptive,4,problem_solving,76.47668529837881
adaptive,4,application_skills,77.09304096888273
adaptive,4,critical_thinking,75.49621213589498
adaptive,4,advanced_topics,71.98734871161032
adaptive,5,conceptual_understanding,79.48489001499084
adaptive,5,problem_solving,76.56421065312496
adaptive,5,application_skills,77.1619758643243
adaptive,5,critical_thinking,75.62540912307753
adaptive,5,advanced_topics,72.19108247493216
adaptive,6,conceptual_understanding,79.52695913727334
adaptive,6,problem_solving,76.62081832088467
adaptive,6,application_skills,77.24443801800093
adaptive,6,critical_thinking,75.7368099858171
adaptive,6,advanced_topics,72.35041968144223
adaptive,7,conceptual_understanding,79.59240823857571
adaptive,7,problem_solving,76.67663301883755
adaptive,7,application_skills,77.2870533137285
adaptive,7,critical_thinking,75.81625787451718
adaptive,7,advanced_topics,72.49201777026728
adaptive,8,conceptual_understanding,79.62249797611229
adaptive,8,problem_solving,76.71653065252828
adaptive,8,application_skills,77.34411765708195
adaptive,8,critical_thinking,75.89590731342456
adaptive,8,advanced_topics,72.61515727736165
adaptive,9,conceptual_understanding,79.66327001716755
adaptive,9,problem_solving,76.7575245764875
adaptive,9,application_skills,77.39456456396954
adaptive,9,critical_thinking,75.97140314546961
adaptive,9,advanced_topics,72.70429626102947
adaptive,10,conceptual_understanding,79.69879337826525
adaptive,10,problem_solving,76.79824828637021
adaptive,10,application_skills,77.42937031062799
adaptive,10,critical_thinking,76.02164853930915
adaptive,10,advanced_topics,72.80686773329433
