feature,shap,permutation,shap_rank,permutation_rank,mean_rank
midterm,2.344158382710875,0.0518535499951003,1.0,1.0,1.0
self_regulation,1.7717859096495578,0.0320155959316556,2.0,2.0,2.0
assignment_average,1.5609928649377107,0.0223413562245936,3.0,3.0,3.0
quiz_average,1.2517240381956145,0.0173121903880995,4.0,4.0,4.0
prior_course_grade,1.248793862148868,0.0144295115793565,5.0,5.0,5.0
previous_gpa,1.2051856085968229,0.0104902676822817,6.0,6.0,6.0
assignment_on_time,1.072673280636868,0.0101166561484998,7.0,7.0,7.0
motivation,0.8706761249322842,0.0082693720715987,9.0,8.0,8.5
academic_anxiety,1.0024116807901209,0.0055835670935866,8.0,10.0,9.0
self_efficacy,0.8164604668073029,0.0068852049406912,10.0,9.0,9.5
study_hours_week,0.7405816717196154,0.0044428018844878,11.0,12.0,11.5
weekly_questions,0.694889202957819,0.0054514360243134,12.0,11.0,11.5
practice_test_score,0.5951110260617,0.0028995022211078,13.0,14.0,13.5
problem_solving,0.5835314298439541,0.0034831540555706,14.0,13.0,13.5
time_management,0.5199292842986831,0.0023800942025226,15.0,15.0,15.0
video_watch_minutes,0.4097944354047775,0.002035905942305,16.0,16.0,16.0
application_skills,0.3901394956031055,0.0014219964211939,17.0,18.0,17.5
attendance_rate,0.3672614557217113,0.0020335699492054,19.0,17.0,18.0
critical_thinking,0.3704962408257013,0.0012303773866861,18.0,20.0,19.0
age,0.2338533709543858,0.0013575017359394,21.0,19.0,20.0
conceptual_understanding,0.1679372897642236,0.0003089836522357,22.0,21.0,21.5
gender_F,0.1485910055227145,0.0,23.0,24.0,23.5
advanced_topics,0.3003759316185898,-4.097125706050697e-05,20.0,28.0,24.0
lms_login_count,0.1362347786460205,2.7314864309857523e-05,25.0,23.0,24.0
gender,0.0,6.991676532178693e-05,28.0,22.0,25.0
gender_M,8.24565852946953e-16,0.0,27.0,24.0,25.5
recommendation_completion_rate,0.0,0.0,28.0,24.0,26.0
absence_hours,0.0,0.0,28.0,24.0,26.0
class_year,0.1429954953737343,-0.0001898516837529,24.0,30.0,27.0
preferred_learning_type,0.0092972537893521,-8.636770191995935e-05,26.0,29.0,27.5
