feature,importance_mean,importance_std,rank
self_regulation,0.29774498183473386,0.040545431433397325,1
recommendation_completion_rate,0.27810559914846933,0.041420555425920255,2
video_watch_minutes,0.013359896468578214,0.009815474976730215,3
lms_login_count,0.008472135830105509,0.007888894748329503,4
conceptual_understanding,0.004909651816592492,0.0037660578498563075,5
academic_anxiety,0.002448417699493155,0.0055792424660010345,6
self_efficacy,0.0023427724967555906,0.0015050640018330918,7
motivation,0.0014821622820817225,0.001803955772874534,8
time_management,0.0009776533983435309,0.0015026526433196134,9
advanced_topics,0.0006151598734806807,0.003076925599793474,10
weekly_questions,0.00048183782126690056,0.002372999727318051,11
critical_thinking,6.78382262014554e-05,0.0011006768600214313,12
class_year,1.683705856911355e-05,0.0002691358283807116,13
prior_course_grade,0.0,0.0,14
previous_gpa,0.0,0.0,15
preferred_learning_type,0.0,0.0,16
application_skills,0.0,0.0,17
absence_hours,0.0,0.0,18
quiz_average,0.0,0.0,19
assignment_average,0.0,0.0,20
problem_solving,0.0,0.0,21
midterm,-0.0003585684743019846,0.0007704706725569904,22
study_hours_week,-0.0008526756730170504,0.0012366584596784193,23
gender,-0.0009708116700714586,0.0004116135370557923,24
practice_test_score,-0.0010782653099849382,0.001800527723172502,25
attendance_rate,-0.0014481928767429765,0.003458472448827513,26
assignment_on_time,-0.0016808040788530375,0.0016626797126234605,27
age,-0.003906384093876242,0.002613517185382585,28
