feature,importance_mean,importance_std
advanced_topics,0.2543170327245047,0.02223132334430051
application_skills,0.1746083877278313,0.02791548219814575
problem_solving,0.17438362024337256,0.01737969412511598
critical_thinking,0.16745218415303642,0.024343332914076827
conceptual_understanding,0.12143055411100223,0.02146740206693881
self_regulation,0.04450558873423142,0.018533203073481403
quiz_average,0.02743899771427346,0.017292058472249437
gender,0.026836130601936754,0.012461595084630808
video_watch_minutes,0.026280267233419596,0.011790618109377074
prior_course_grade,0.025320121777538684,0.011923751464775957
weekly_questions,0.024241645397818777,0.011222898305704
study_hours_week,0.021374476572683994,0.016736245500537407
assignment_on_time,0.021351038089574337,0.01160150483119542
attendance_rate,0.02106365295474675,0.011982555219573343
age,0.01958180149584976,0.012700517367564649
midterm,0.01887542484498824,0.011192745165462632
practice_test_score,0.01850707978318048,0.011960731289706756
absence_hours,0.014328211469683194,0.012566275042196321
self_efficacy,0.013573853964599697,0.012380047585913828
motivation,0.013077060712285881,0.009920024619859576
assignment_average,0.012626527026195388,0.010141517671816912
recommendation_completion_rate,0.010405798355860679,0.01138267215588668
previous_gpa,0.008913434734574215,0.013524902486104513
lms_login_count,0.008133866842952697,0.012970660291344603
time_management,0.0027390672610993093,0.013331278063212921
academic_anxiety,0.0025714922871228896,0.012972360631351026
preferred_learning_type,0.00010004907746071767,0.0017078902490167763
class_year,-0.012190097004742934,0.013331536481700688
