feature,importance_mean,importance_std
advanced_topics,0.2987867352173553,0.02653117689518585
problem_solving,0.20668596755763965,0.021705494832232625
application_skills,0.20358044512557666,0.034872266171618725
critical_thinking,0.19382166556909158,0.0290458974552238
conceptual_understanding,0.13823250697202757,0.026197090064460728
self_regulation,0.04203556554948472,0.022320604123820656
gender,0.03178333899988549,0.013509436573735765
video_watch_minutes,0.02723276831742243,0.01328320762802453
prior_course_grade,0.02657506888700334,0.013385177163825295
quiz_average,0.023648539992746125,0.020626084043531827
weekly_questions,0.02359678361762712,0.01409901673522884
age,0.023057033015335533,0.015016901005077918
practice_test_score,0.021439826534383997,0.013837034221547737
assignment_on_time,0.01953600216869076,0.011843810394181892
midterm,0.01925696916794093,0.014507684136309273
study_hours_week,0.018828331581133083,0.022364561923030917
attendance_rate,0.017335985943907766,0.011397719839486713
self_efficacy,0.01705308289549773,0.015252666268894224
motivation,0.012817846811557555,0.010765187052039627
absence_hours,0.010506455390583053,0.014085430671566384
recommendation_completion_rate,0.009456344210039342,0.012009668755859897
previous_gpa,0.006688349992529296,0.014288268898703325
lms_login_count,0.006291944722047143,0.01499339650048866
time_management,0.0046631537417202605,0.01599174369476412
assignment_average,0.004306127279572358,0.011496707776654983
academic_anxiety,0.0025812571992574807,0.017716070990091433
preferred_learning_type,0.00021992315613708624,0.003206357304469535
class_year,-0.012667577133734698,0.016783328869845984
