feature,mean_abs_shap,rank
recommendation_completion_rate,0.5757293692081061,1
self_regulation,0.5617046314222395,2
video_watch_minutes,0.13111227295209832,3
lms_login_count,0.12586939187567167,4
academic_anxiety,0.07793732690879629,5
attendance_rate,0.05892410054262607,6
conceptual_understanding,0.0511382303110376,7
advanced_topics,0.0435678970728882,8
weekly_questions,0.03742392583448119,9
age,0.03349143046297673,10
practice_test_score,0.030104703559590825,11
assignment_on_time,0.027343253802548883,12
self_efficacy,0.02469090266254643,13
motivation,0.023016388570480856,14
time_management,0.020980316492320017,15
study_hours_week,0.017075244202807163,16
critical_thinking,0.01691402502962318,17
midterm,0.011458116032588036,18
gender_F,0.010424054925211085,19
class_year,0.004734741642425084,20
gender_M,1.926974547647784e-16,21
quiz_average,0.0,22
absence_hours,0.0,23
assignment_average,0.0,24
prior_course_grade,0.0,25
previous_gpa,0.0,26
problem_solving,0.0,27
application_skills,0.0,28
preferred_learning_type,0.0,29
