feature,mean_abs_shap,rank
midterm,2.344158382710875,1
self_regulation,1.7717859096495578,2
assignment_average,1.5609928649377107,3
quiz_average,1.2517240381956143,4
prior_course_grade,1.248793862148868,5
previous_gpa,1.2051856085968229,6
assignment_on_time,1.072673280636868,7
academic_anxiety,1.0024116807901209,8
motivation,0.8706761249322842,9
self_efficacy,0.8164604668073029,10
study_hours_week,0.7405816717196154,11
weekly_questions,0.694889202957819,12
practice_test_score,0.5951110260617,13
problem_solving,0.5835314298439541,14
time_management,0.5199292842986831,15
video_watch_minutes,0.40979443540477756,16
application_skills,0.3901394956031055,17
critical_thinking,0.3704962408257013,18
attendance_rate,0.3672614557217113,19
advanced_topics,0.3003759316185898,20
age,0.23385337095438583,21
conceptual_understanding,0.16793728976422362,22
gender_F,0.1485910055227145,23
class_year,0.14299549537373435,24
lms_login_count,0.13623477864602052,25
preferred_learning_type,0.009297253789352184,26
gender_M,8.245658529469529e-16,27
absence_hours,0.0,28
recommendation_completion_rate,0.0,29
