feature,mean_abs_shap,rank
advanced_topics,1.996296736701863,1
problem_solving,1.6544539325988066,2
application_skills,1.6534690075168852,3
critical_thinking,1.5854315470301175,4
conceptual_understanding,1.3927266815214099,5
academic_anxiety,0.254974920997879,6
study_hours_week,0.24780115618904466,7
recommendation_completion_rate,0.2269426334682634,8
motivation,0.19951675072011624,9
lms_login_count,0.19401327875363858,10
midterm,0.18826888293768718,11
self_regulation,0.16167218721943183,12
absence_hours,0.15927626671467257,13
assignment_average,0.14738018873105346,14
quiz_average,0.14597838585467918,15
attendance_rate,0.13867391832818152,16
practice_test_score,0.13229873482886426,17
self_efficacy,0.13224155301988053,18
video_watch_minutes,0.12567102656606322,19
previous_gpa,0.12190795785229376,20
prior_course_grade,0.11464652074978775,21
time_management,0.11398865805313399,22
class_year,0.1132151124763674,23
weekly_questions,0.1045096932536095,24
gender_M,0.10100032262843221,25
gender_F,0.0940399944068111,26
age,0.09295059624134572,27
assignment_on_time,0.0767028320475616,28
preferred_learning_type,0.04018283780034547,29
