feature,mean_abs_shap,rank
midterm,1.5908908319111021,1
previous_gpa,0.970432184025208,2
quiz_average,0.842325028888111,3
self_efficacy,0.7240007880082688,4
recommendation_completion_rate,0.703286756717676,5
motivation,0.6806814367151858,6
attendance_rate,0.6747992464409946,7
academic_anxiety,0.6188671293780568,8
video_watch_minutes,0.5968800671073602,9
study_hours_week,0.5041002076214011,10
practice_test_score,0.5009261324805918,11
assignment_on_time,0.48249752697264225,12
prior_course_grade,0.4794771829773427,13
absence_hours,0.3984812321617715,14
advanced_topics,0.36650331596831914,15
application_skills,0.360575611370392,16
conceptual_understanding,0.3082861010032698,17
problem_solving,0.2872169216238787,18
time_management,0.26749679968864704,19
assignment_average,0.2573141064538782,20
self_regulation,0.192376298985676,21
lms_login_count,0.1843996847006561,22
critical_thinking,0.1797463127411261,23
class_year,0.12145674317292372,24
age,0.11713918781850303,25
weekly_questions,0.06523576695661136,26
gender_M,0.060728220931169224,27
gender_F,0.05443420283156922,28
preferred_learning_type,0.03695576991613775,29
