feature,mean_abs_shap,rank
advanced_topics,2.2591997918525837,1
problem_solving,1.9264598226064142,2
critical_thinking,1.8792552467901873,3
application_skills,1.8472960021311562,4
conceptual_understanding,1.676327069633525,5
study_hours_week,0.2543726995348672,6
recommendation_completion_rate,0.18079505639350144,7
lms_login_count,0.1807541084137543,8
motivation,0.1696442642928428,9
self_regulation,0.16916530242451192,10
video_watch_minutes,0.14952062314400652,11
practice_test_score,0.1368172498837219,12
absence_hours,0.13605562311949262,13
quiz_average,0.1269019542899057,14
midterm,0.12613703657821423,15
previous_gpa,0.12579145406964992,16
self_efficacy,0.11474082437652726,17
attendance_rate,0.10860759616725246,18
time_management,0.10515199434914055,19
prior_course_grade,0.10296806279478801,20
weekly_questions,0.10039885929958,21
assignment_average,0.09637325374659068,22
class_year,0.08990178156240716,23
academic_anxiety,0.08637333828956763,24
age,0.06363819397150974,25
gender_M,0.04721097923817025,26
gender_F,0.04459740516134177,27
preferred_learning_type,0.039122251651849266,28
assignment_on_time,0.027306822519133966,29
