student_id,selected_activity,selected_estimated_gain,observed_activity,observed_gain,selection_matches_observed_policy
10001,Application Exercise,4.232146314578449,Advanced Practice,0.89,False
10002,Application Exercise,6.196730124308742,Practice Questions,5.57,False
10003,Application Exercise,6.282218158750334,Practice Questions,2.87,False
10004,Application Exercise,5.461193315559658,Critical Thinking Activity,4.6,False
10005,Application Exercise,1.8663614739939762,Advanced Practice,1.88,False
10006,Application Exercise,3.5298357225561374,Practice Questions,5.84,False
10007,Advanced Practice,6.44470641715239,Critical Thinking Activity,3.87,False
10008,Application Exercise,3.8822272729959315,Advanced Practice,2.15,False
10009,Advanced Practice,4.944648973095446,Application Exercise,5.89,False
10010,Application Exercise,4.4058289388598375,Critical Thinking Activity,3.63,False
10011,Application Exercise,3.318850773368046,Advanced Practice,2.59,False
10012,Application Exercise,4.536933246705963,Advanced Practice,2.74,False
10013,Application Exercise,3.7946215686796263,Advanced Practice,2.03,False
10014,Application Exercise,4.8344577431070235,Critical Thinking Activity,5.87,False
10015,Application Exercise,4.289430899325638,Application Exercise,3.95,True
10016,Application Exercise,2.716122496970798,Application Exercise,2.63,True
10017,Application Exercise,4.429592440234933,Critical Thinking Activity,3.12,False
10018,Critical Thinking Activity,3.1669955103590883,Advanced Practice,1.19,False
10019,Critical Thinking Activity,4.576873029915702,Concept Review,5.94,False
10020,Application Exercise,5.458247887476045,Application Exercise,6.03,True
10021,Application Exercise,5.129095536354088,Advanced Practice,7.17,False
10022,Application Exercise,3.3914048947168425,Critical Thinking Activity,1.42,False
10023,Application Exercise,5.0688765937448155,Critical Thinking Activity,5.71,False
10024,Critical Thinking Activity,6.606456087943777,Application Exercise,4.44,False
10025,Application Exercise,3.370224253699811,Advanced Practice,2.64,False
10026,Application Exercise,6.332673482697629,Critical Thinking Activity,7.24,False
10027,Application Exercise,2.0635636517250724,Advanced Practice,0.0,False
10028,Application Exercise,5.81613199618646,Concept Review,5.29,False
10029,Advanced Practice,4.863983244345938,Advanced Practice,4.07,True
10030,Application Exercise,3.9345326533472393,Concept Review,2.03,False
10031,Critical Thinking Activity,3.3981538309611903,Critical Thinking Activity,3.55,True
10032,Application Exercise,4.823061413952507,Critical Thinking Activity,6.24,False
10033,Application Exercise,3.278674001166813,Critical Thinking Activity,2.28,False
10034,Application Exercise,3.501899365142175,Advanced Practice,3.36,False
10035,Application Exercise,5.229307615326161,Critical Thinking Activity,4.43,False
10036,Application Exercise,4.654934631449801,Advanced Practice,3.61,False
10037,Advanced Practice,4.307340538698664,Critical Thinking Activity,2.67,False
10038,Application Exercise,5.027049979864968,Critical Thinking Activity,6.64,False
10039,Application Exercise,6.335302075829296,Critical Thinking Activity,5.63,False
10040,Application Exercise,5.092169410486102,Critical Thinking Activity,4.51,False
10041,Application Exercise,4.603402437106756,Critical Thinking Activity,2.79,False
10042,Application Exercise,5.119143642456493,Application Exercise,4.19,True
10043,Application Exercise,3.2380769671786798,Critical Thinking Activity,1.65,False
10044,Application Exercise,3.373300442270901,Advanced Practice,0.75,False
10045,Critical Thinking Activity,5.185893318942441,Concept Review,2.61,False
10046,Application Exercise,3.6441518428082276,Advanced Practice,2.52,False
10047,Advanced Practice,2.7376238268558115,Advanced Practice,3.62,True
10048,Application Exercise,4.713605515825652,Advanced Practice,2.72,False
10049,Application Exercise,3.6063347542343713,Advanced Practice,1.3,False
10050,Application Exercise,4.4462676370750085,Advanced Practice,2.52,False
10051,Application Exercise,4.241136366541558,Advanced Practice,1.91,False
10052,Application Exercise,3.622271543433949,Advanced Practice,1.63,False
10053,Application Exercise,5.20071208003457,Advanced Practice,7.39,False
10054,Application Exercise,4.6029368731821,Application Exercise,5.12,True
10055,Application Exercise,4.966583096534528,Advanced Practice,6.08,False
10056,Advanced Practice,6.178154841016658,Application Exercise,7.66,False
10057,Application Exercise,5.842159531320041,Practice Questions,3.26,False
10058,Critical Thinking Activity,3.8375227799003855,Practice Questions,1.74,False
10059,Advanced Practice,4.059095289422844,Application Exercise,2.0,False
10060,Application Exercise,6.242123614539615,Critical Thinking Activity,7.52,False
10061,Application Exercise,3.841884607300234,Advanced Practice,1.97,False
10062,Application Exercise,3.2971829428087163,Concept Review,0.27,False
10063,Application Exercise,4.937103427251094,Practice Questions,3.44,False
10064,Application Exercise,6.699612895708405,Practice Questions,5.21,False
10065,Application Exercise,3.5713306551133277,Critical Thinking Activity,3.47,False
10066,Application Exercise,3.7809391632763067,Advanced Practice,2.93,False
10067,Application Exercise,6.306812316634941,Practice Questions,4.09,False
10068,Application Exercise,3.619057277236102,Critical Thinking Activity,4.31,False
10069,Concept Review,5.563455869974161,Advanced Practice,4.36,False
10070,Application Exercise,2.127601264793721,Application Exercise,1.41,True
10071,Application Exercise,6.231474884127825,Critical Thinking Activity,5.67,False
10072,Application Exercise,5.456199312429204,Advanced Practice,3.24,False
10073,Concept Review,4.447577621192159,Practice Questions,3.4,False
10074,Application Exercise,4.604973725097576,Critical Thinking Activity,5.2,False
10075,Application Exercise,4.201638963886824,Concept Review,2.37,False
10076,Critical Thinking Activity,4.79635745819594,Practice Questions,3.68,False
10077,Application Exercise,3.8147283618329206,Advanced Practice,4.38,False
10078,Application Exercise,4.759802226144146,Application Exercise,6.91,True
10079,Application Exercise,4.221026889651187,Critical Thinking Activity,4.1,False
10080,Application Exercise,2.2829635328439775,Application Exercise,2.6,True
10081,Application Exercise,4.6609625426067804,Application Exercise,5.05,True
10082,Application Exercise,4.179618730446084,Practice Questions,1.6,False
10083,Application Exercise,4.8929632566977155,Critical Thinking Activity,4.11,False
10084,Application Exercise,4.6809535213414515,Advanced Practice,3.47,False
10085,Concept Review,5.022927581759312,Advanced Practice,4.58,False
10086,Critical Thinking Activity,2.9888237625138707,Advanced Practice,3.24,False
10087,Application Exercise,4.818719112184794,Practice Questions,4.31,False
10088,Critical Thinking Activity,5.5899467416184905,Critical Thinking Activity,5.12,True
10089,Application Exercise,3.465869860497505,Advanced Practice,3.4,False
10090,Concept Review,4.706205885483627,Practice Questions,2.75,False
10091,Application Exercise,7.350213422644064,Practice Questions,5.63,False
10092,Application Exercise,3.412536728962806,Critical Thinking Activity,5.2,False
10093,Concept Review,5.192648913718946,Concept Review,5.45,True
10094,Application Exercise,4.928527837277599,Concept Review,4.75,False
10095,Application Exercise,3.988547927432038,Advanced Practice,5.78,False
10096,Application Exercise,6.556713964010989,Critical Thinking Activity,3.42,False
10097,Application Exercise,6.220111261835417,Concept Review,4.17,False
10098,Application Exercise,5.273540839380879,Concept Review,7.87,False
10099,Application Exercise,5.46694794368338,Critical Thinking Activity,4.98,False
10100,Application Exercise,4.985999406686467,Critical Thinking Activity,4.37,False
10101,Advanced Practice,3.1500381232216803,Application Exercise,1.63,False
10102,Application Exercise,5.637484927717813,Advanced Practice,4.93,False
10103,Critical Thinking Activity,5.612088920364477,Critical Thinking Activity,6.52,True
10104,Application Exercise,6.192591656594208,Advanced Practice,3.21,False
10105,Concept Review,5.556428835959987,Concept Review,5.08,True
10106,Application Exercise,5.776375776825326,Practice Questions,4.83,False
10107,Application Exercise,5.455305834466152,Critical Thinking Activity,4.71,False
10108,Application Exercise,4.884276836743334,Critical Thinking Activity,3.09,False
10109,Advanced Practice,4.688284314167441,Application Exercise,6.42,False
10110,Concept Review,4.164048391900508,Application Exercise,5.66,False
10111,Practice Questions,3.785526524095042,Critical Thinking Activity,2.59,False
10112,Application Exercise,5.690406193487518,Critical Thinking Activity,4.41,False
10113,Concept Review,4.423590886538728,Concept Review,3.99,True
10114,Application Exercise,5.273176005781371,Application Exercise,3.43,True
10115,Application Exercise,2.50002407505925,Advanced Practice,1.04,False
10116,Application Exercise,5.065138033728061,Practice Questions,4.07,False
10117,Application Exercise,5.464602272826426,Advanced Practice,6.5,False
10118,Application Exercise,1.8191752416577014,Advanced Practice,2.5,False
10119,Application Exercise,4.950643899624508,Critical Thinking Activity,6.07,False
10120,Concept Review,3.5357873077576656,Practice Questions,3.39,False
10121,Advanced Practice,6.832146565315915,Concept Review,5.04,False
10122,Application Exercise,6.509028773886297,Concept Review,6.26,False
10123,Application Exercise,5.34350152027897,Practice Questions,5.55,False
10124,Advanced Practice,3.802279256416278,Application Exercise,1.92,False
10125,Application Exercise,6.837880632918697,Concept Review,7.69,False
10126,Application Exercise,6.04273922435553,Application Exercise,8.85,True
10127,Application Exercise,1.8694715983821095,Advanced Practice,3.06,False
10128,Application Exercise,4.657449528936855,Advanced Practice,5.9,False
10129,Application Exercise,5.211419627476516,Concept Review,5.45,False
10130,Application Exercise,3.8572758057848637,Critical Thinking Activity,4.57,False
10131,Application Exercise,5.228257375416037,Concept Review,4.09,False
10132,Application Exercise,6.147175532783819,Application Exercise,6.83,True
10133,Application Exercise,3.380823255086228,Critical Thinking Activity,3.23,False
10134,Application Exercise,3.15487218856536,Advanced Practice,2.49,False
10135,Concept Review,5.39946432126933,Critical Thinking Activity,6.91,False
10136,Application Exercise,4.167954356686423,Concept Review,3.21,False
10137,Application Exercise,3.470559469298344,Advanced Practice,2.1,False
10138,Application Exercise,5.1443241056458575,Advanced Practice,3.37,False
10139,Application Exercise,7.333968731228355,Concept Review,5.23,False
10140,Application Exercise,4.694712710858543,Advanced Practice,3.78,False
10141,Application Exercise,3.55842163076184,Practice Questions,0.0,False
10142,Application Exercise,4.206166565095578,Advanced Practice,4.84,False
10143,Advanced Practice,3.2660799675241554,Concept Review,3.38,False
10144,Application Exercise,4.258736030326461,Advanced Practice,2.76,False
10145,Application Exercise,4.218158243925362,Advanced Practice,1.85,False
10146,Critical Thinking Activity,5.0497613760864475,Concept Review,4.39,False
10147,Application Exercise,3.9484309454537523,Application Exercise,4.71,True
10148,Concept Review,5.2680455265481,Critical Thinking Activity,5.92,False
10149,Advanced Practice,1.3261447795300323,Application Exercise,0.53,False
10150,Application Exercise,3.5594788524171532,Critical Thinking Activity,1.81,False
10151,Application Exercise,3.3397171722157957,Advanced Practice,3.63,False
10152,Application Exercise,4.508514342374009,Practice Questions,2.27,False
10153,Application Exercise,5.953602364343867,Advanced Practice,4.39,False
10154,Application Exercise,3.6286171719673197,Practice Questions,3.03,False
10155,Application Exercise,5.485760472609531,Advanced Practice,5.62,False
10156,Concept Review,4.784239096878886,Advanced Practice,5.79,False
10157,Critical Thinking Activity,4.643802680704239,Application Exercise,2.42,False
10158,Application Exercise,4.6744525742643015,Critical Thinking Activity,0.99,False
10159,Practice Questions,3.2400751705822284,Advanced Practice,2.05,False
10160,Application Exercise,1.9125687263073146,Critical Thinking Activity,4.53,False
10161,Application Exercise,3.4168952388244898,Application Exercise,5.89,True
10162,Concept Review,6.865571587752686,Concept Review,8.99,True
10163,Application Exercise,4.459729916645064,Practice Questions,2.67,False
10164,Advanced Practice,3.749542734830405,Application Exercise,1.22,False
10165,Critical Thinking Activity,3.6402087122399673,Application Exercise,0.0,False
10166,Application Exercise,4.183786498575365,Advanced Practice,2.1,False
10167,Application Exercise,5.211432047799876,Advanced Practice,3.76,False
10168,Concept Review,5.104512960836297,Application Exercise,6.78,False
10169,Critical Thinking Activity,3.6741890006001063,Critical Thinking Activity,4.67,True
10170,Application Exercise,5.4465067495076855,Practice Questions,4.9,False
10171,Critical Thinking Activity,2.4883043709109796,Concept Review,0.79,False
10172,Application Exercise,5.622526642690609,Critical Thinking Activity,3.82,False
10173,Advanced Practice,4.078682895629875,Critical Thinking Activity,4.08,False
10174,Application Exercise,3.3500362051478527,Concept Review,4.5,False
10175,Application Exercise,5.839355777235712,Advanced Practice,4.49,False
10176,Critical Thinking Activity,2.6674772289236466,Practice Questions,0.8,False
10177,Application Exercise,3.5458302923282425,Advanced Practice,3.81,False
10178,Application Exercise,2.9548308466276136,Practice Questions,2.79,False
10179,Application Exercise,1.3763614639988173,Advanced Practice,0.0,False
10180,Concept Review,5.620211671700608,Practice Questions,3.98,False
10181,Application Exercise,3.0313550733694163,Practice Questions,3.32,False
10182,Advanced Practice,3.521173306581166,Advanced Practice,3.17,True
10183,Application Exercise,1.4868403461208564,Advanced Practice,3.59,False
10184,Critical Thinking Activity,3.704071967289296,Application Exercise,3.72,False
10185,Application Exercise,5.60338423814919,Advanced Practice,3.67,False
10186,Concept Review,4.009522605134802,Critical Thinking Activity,3.91,False
10187,Concept Review,2.0822058993251122,Practice Questions,1.32,False
10188,Application Exercise,3.7907315138688475,Advanced Practice,0.89,False
10189,Application Exercise,6.106913037173165,Critical Thinking Activity,3.56,False
10190,Critical Thinking Activity,3.1437256867776164,Application Exercise,4.19,False
10191,Advanced Practice,3.5151476839767355,Advanced Practice,4.86,True
10192,Application Exercise,2.8149628732114116,Advanced Practice,3.13,False
10193,Application Exercise,3.10328215289023,Practice Questions,5.6,False
10194,Application Exercise,5.9933629545566856,Practice Questions,4.11,False
10195,Application Exercise,4.861944917984134,Advanced Practice,6.7,False
10196,Application Exercise,2.924367158232169,Advanced Practice,1.21,False
