student_id,activity,estimated_gain,observed_activity,observed_gain
10001,Concept Review,2.1783487543398814,Advanced Practice,0.89
10001,Practice Questions,2.8635231844883746,Advanced Practice,0.89
10001,Application Exercise,4.232146314578449,Advanced Practice,0.89
10001,Critical Thinking Activity,2.6423778164194767,Advanced Practice,0.89
10001,Advanced Practice,2.8201862457086073,Advanced Practice,0.89
10002,Concept Review,4.5380547255639385,Practice Questions,5.57
10002,Practice Questions,4.911740424993788,Practice Questions,5.57
10002,Application Exercise,6.196730124308742,Practice Questions,5.57
10002,Critical Thinking Activity,4.794945318279606,Practice Questions,5.57
10002,Advanced Practice,5.297885353528203,Practice Questions,5.57
10003,Concept Review,4.726164409244762,Practice Questions,2.87
10003,Practice Questions,5.274511905486348,Practice Questions,2.87
10003,Application Exercise,6.282218158750334,Practice Questions,2.87
10003,Critical Thinking Activity,5.350111883267914,Practice Questions,2.87
10003,Advanced Practice,5.238352483872938,Practice Questions,2.87
10004,Concept Review,4.32549299612233,Critical Thinking Activity,4.6
10004,Practice Questions,4.066238793932972,Critical Thinking Activity,4.6
10004,Application Exercise,5.461193315559658,Critical Thinking Activity,4.6
10004,Critical Thinking Activity,4.47739651499389,Critical Thinking Activity,4.6
10004,Advanced Practice,4.386527253378751,Critical Thinking Activity,4.6
10005,Concept Review,1.5054588480540958,Advanced Practice,1.88
10005,Practice Questions,1.704091860828185,Advanced Practice,1.88
10005,Application Exercise,1.8663614739939762,Advanced Practice,1.88
10005,Critical Thinking Activity,1.702762665780105,Advanced Practice,1.88
10005,Advanced Practice,1.6633923043015897,Advanced Practice,1.88
10006,Concept Review,3.1532881797903385,Practice Questions,5.84
10006,Practice Questions,3.4580638574881926,Practice Questions,5.84
10006,Application Exercise,3.5298357225561374,Practice Questions,5.84
10006,Critical Thinking Activity,3.4583102919742976,Practice Questions,5.84
10006,Advanced Practice,3.0836267040567824,Practice Questions,5.84
10007,Concept Review,5.4436522828127725,Critical Thinking Activity,3.87
10007,Practice Questions,4.8327157924282655,Critical Thinking Activity,3.87
10007,Application Exercise,6.236791471604791,Critical Thinking Activity,3.87
10007,Critical Thinking Activity,5.6453941277254955,Critical Thinking Activity,3.87
10007,Advanced Practice,6.44470641715239,Critical Thinking Activity,3.87
10008,Concept Review,2.1309509450592103,Advanced Practice,2.15
10008,Practice Questions,2.949655810882278,Advanced Practice,2.15
10008,Application Exercise,3.8822272729959315,Advanced Practice,2.15
10008,Critical Thinking Activity,2.7420170071721706,Advanced Practice,2.15
10008,Advanced Practice,3.1730952594752564,Advanced Practice,2.15
10009,Concept Review,4.852567667423665,Application Exercise,5.89
10009,Practice Questions,4.122127021621701,Application Exercise,5.89
10009,Application Exercise,4.647358441371611,Application Exercise,5.89
10009,Critical Thinking Activity,4.495441074762519,Application Exercise,5.89
10009,Advanced Practice,4.944648973095446,Application Exercise,5.89
10010,Concept Review,3.1974740309564993,Critical Thinking Activity,3.63
10010,Practice Questions,3.435401728532115,Critical Thinking Activity,3.63
10010,Application Exercise,4.4058289388598375,Critical Thinking Activity,3.63
10010,Critical Thinking Activity,3.378981670764265,Critical Thinking Activity,3.63
10010,Advanced Practice,3.0855861369806754,Critical Thinking Activity,3.63
10011,Concept Review,1.7288246166101326,Advanced Practice,2.59
10011,Practice Questions,2.8070697691292135,Advanced Practice,2.59
10011,Application Exercise,3.318850773368046,Advanced Practice,2.59
10011,Critical Thinking Activity,1.981238988619529,Advanced Practice,2.59
10011,Advanced Practice,2.005376438680555,Advanced Practice,2.59
10012,Concept Review,3.9758769250116934,Advanced Practice,2.74
10012,Practice Questions,3.6302830631328105,Advanced Practice,2.74
10012,Application Exercise,4.536933246705963,Advanced Practice,2.74
10012,Critical Thinking Activity,4.0759789528093195,Advanced Practice,2.74
10012,Advanced Practice,4.406804801336414,Advanced Practice,2.74
10013,Concept Review,1.7354044419833043,Advanced Practice,2.03
10013,Practice Questions,3.218698123096948,Advanced Practice,2.03
10013,Application Exercise,3.7946215686796263,Advanced Practice,2.03
10013,Critical Thinking Activity,2.4264357908018996,Advanced Practice,2.03
10013,Advanced Practice,2.8554549542596384,Advanced Practice,2.03
10014,Concept Review,4.140868093495333,Critical Thinking Activity,5.87
10014,Practice Questions,4.257784822143587,Critical Thinking Activity,5.87
10014,Application Exercise,4.8344577431070235,Critical Thinking Activity,5.87
10014,Critical Thinking Activity,4.103611719860434,Critical Thinking Activity,5.87
10014,Advanced Practice,3.886607493076512,Critical Thinking Activity,5.87
10015,Concept Review,3.445663698630718,Application Exercise,3.95
10015,Practice Questions,4.118296619593498,Application Exercise,3.95
10015,Application Exercise,4.289430899325638,Application Exercise,3.95
10015,Critical Thinking Activity,3.752633773951709,Application Exercise,3.95
10015,Advanced Practice,3.9781362166076666,Application Exercise,3.95
10016,Concept Review,1.1911787900532915,Application Exercise,2.63
10016,Practice Questions,1.5797933861495825,Application Exercise,2.63
10016,Application Exercise,2.716122496970798,Application Exercise,2.63
10016,Critical Thinking Activity,2.3181404646828208,Application Exercise,2.63
10016,Advanced Practice,2.5442779487873324,Application Exercise,2.63
10017,Concept Review,3.161095035134287,Critical Thinking Activity,3.12
10017,Practice Questions,3.3976556151446142,Critical Thinking Activity,3.12
10017,Application Exercise,4.429592440234933,Critical Thinking Activity,3.12
10017,Critical Thinking Activity,3.212918704130115,Critical Thinking Activity,3.12
10017,Advanced Practice,3.3833517304301943,Critical Thinking Activity,3.12
10018,Concept Review,2.7752707133130317,Advanced Practice,1.19
10018,Practice Questions,3.130615508088375,Advanced Practice,1.19
10018,Application Exercise,3.131443522744088,Advanced Practice,1.19
10018,Critical Thinking Activity,3.1669955103590883,Advanced Practice,1.19
10018,Advanced Practice,2.944272028511487,Advanced Practice,1.19
10019,Concept Review,4.395041345909221,Concept Review,5.94
10019,Practice Questions,4.168358610776888,Concept Review,5.94
10019,Application Exercise,4.307653451609183,Concept Review,5.94
10019,Critical Thinking Activity,4.576873029915702,Concept Review,5.94
10019,Advanced Practice,4.369891374274128,Concept Review,5.94
10020,Concept Review,4.896520040727967,Application Exercise,6.03
