cycle,adaptive_mean_gain,static_mean_gain,adaptive_mean_cumulative,static_mean_cumulative
1,243.9249285210514,243.9249285210514,243.9249285210514,243.9249285210514
2,176.14205392271793,176.13216665117784,420.0669824437693,420.05709517222925
3,122.65822565891193,122.65234049788681,542.7252081026813,542.709435670116
4,98.38788252875771,98.38711357619106,641.1130906314389,641.0965492463071
5,78.92400315065338,78.91409581925734,720.0370937820923,720.0106450655644
6,66.75753663845941,66.74097899956863,786.7946304205517,786.7516240651331
7,56.98923391717767,56.9774841059629,843.7838643377295,843.729108171096
8,49.65740778584959,49.64512915334494,893.441272123579,893.3742373244409
9,44.77914024741918,44.76200530724528,938.2204123709982,938.1362426316862
10,39.86777194652504,39.851015169705335,978.0881843175233,977.9872578013915
